city_type,date,state,district,pincode,enrol_age_0_5,enrol_age_5_17,enrol_age_18_greater,demo_demo_age_5_17,demo_demo_age_17_,bio_bio_age_5_17,bio_bio_age_17_
Non-Metropolitan,2025-04-01,Uttar Pradesh,Bulandshahr,203001,0.0,0.0,0.0,466.0,2889.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttar Pradesh,Gautam Buddha Nagar,203207,0.0,0.0,0.0,340.0,2370.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttar Pradesh,Etawah,206001,0.0,0.0,0.0,312.0,2134.0,0.0,0.0
Metropolitan,2025-04-01,Uttar Pradesh,Kanpur Nagar,208021,0.0,0.0,0.0,183.0,2281.0,0.0,0.0
Metropolitan,2025-04-01,Uttar Pradesh,Lucknow,226016,0.0,0.0,0.0,161.0,1314.0,0.0,0.0
Metropolitan,2025-04-01,Uttar Pradesh,Lucknow,226017,0.0,0.0,0.0,167.0,1472.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttar Pradesh,Hardoi,241001,0.0,0.0,0.0,360.0,2961.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttar Pradesh,Bareilly,243006,0.0,0.0,0.0,132.0,1047.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttar Pradesh,Rampur,244901,0.0,0.0,0.0,756.0,5993.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttarakhand,Pauri Garhwal,246149,0.0,0.0,0.0,91.0,999.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttar Pradesh,Saharanpur,247001,0.0,0.0,0.0,753.0,6540.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttar Pradesh,Shamli,247776,0.0,0.0,0.0,322.0,2620.0,0.0,0.0
Metropolitan,2025-04-01,Uttarakhand,Dehradun,248007,0.0,0.0,0.0,124.0,1009.0,0.0,0.0
Metropolitan,2025-04-01,Uttarakhand,Dehradun,248140,0.0,0.0,0.0,138.0,963.0,0.0,0.0
Metropolitan,2025-04-01,Uttarakhand,Dehradun,248142,0.0,0.0,0.0,58.0,677.0,0.0,0.0
Metropolitan,2025-04-01,Uttarakhand,Dehradun,248198,0.0,0.0,0.0,57.0,511.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttarakhand,Haridwar,249407,0.0,0.0,0.0,148.0,1142.0,0.0,0.0
Metropolitan,2025-04-01,Uttar Pradesh,Meerut,250401,0.0,0.0,0.0,206.0,1955.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttar Pradesh,Baghpat,250611,0.0,0.0,0.0,366.0,2361.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttar Pradesh,Muzaffarnagar,251001,0.0,0.0,0.0,477.0,3116.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttar Pradesh,Pilibhit,262001,0.0,0.0,0.0,472.0,5201.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttarakhand,Udham Singh Nagar,262401,0.0,0.0,0.0,291.0,1519.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttarakhand,Udham Singh Nagar,262405,0.0,0.0,0.0,123.0,1141.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttarakhand,Champawat,262524,0.0,0.0,0.0,86.0,649.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttarakhand,Nainital,263139,0.0,0.0,0.0,591.0,3166.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttarakhand,Udham Singh Nagar,263152,0.0,0.0,0.0,78.0,873.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttarakhand,Udham Singh Nagar,263160,0.0,0.0,0.0,74.0,644.0,0.0,0.0
Non-Metropolitan,2025-04-01,Uttar Pradesh,Firozabad,283203,0.0,0.0,0.0,651.0,8545.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Alwar,301001,0.0,0.0,0.0,395.0,3025.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Alwar,301404,0.0,0.0,0.0,110.0,900.0,0.0,0.0
Metropolitan,2025-04-01,Rajasthan,Jaipur,302001,0.0,0.0,0.0,42.0,646.0,0.0,0.0
Metropolitan,2025-04-01,Rajasthan,Jaipur,302006,0.0,0.0,0.0,74.0,669.0,0.0,0.0
Metropolitan,2025-04-01,Rajasthan,Jaipur,302012,0.0,0.0,0.0,610.0,4263.0,0.0,0.0
Metropolitan,2025-04-01,Rajasthan,Jaipur,302015,0.0,0.0,0.0,38.0,456.0,0.0,0.0
Metropolitan,2025-04-01,Rajasthan,Jaipur,302020,0.0,0.0,0.0,152.0,1479.0,0.0,0.0
Metropolitan,2025-04-01,Rajasthan,Jaipur,302021,0.0,0.0,0.0,110.0,940.0,0.0,0.0
Metropolitan,2025-04-01,Rajasthan,Jaipur,302029,0.0,0.0,0.0,366.0,1854.0,0.0,0.0
